galaxy,mass,sfr,T_e_o_iii,T_e_s_iii,T_e_o_ii,Z,Z_err_up,Z_err_down,log_S_O,log_S_O_err_up,log_S_O_err_down,log_Ar_O,log_Ar_O_err_up,log_Ar_O_err_down,log_Ne_O,log_Ne_O_err_up,log_Ne_O_err_down,log_Fe_O,log_Fe_O_err_up,log_Fe_O_err_down
J0938+5428_APO_SDSS,9.15,1.05,11022.947962474924,10849.046808854186,10716.063573732446,8.248640961663924,0.007427313827775997,0.004013191298368517,,,,-2.2619743166822777,0.009828248803343381,0.009981118039111489,-0.4557302780649975,0.009931227595003684,0.008625826133064483,-1.6044950513275797,0.05532842487587324,0.06078580482374704
J0940+2935_APO_SDSS,6.71,-2.01,12300.585560730844,11909.486015406601,11610.40989251159,8.08446677041859,,0.002346479555292535,-1.7985538043671523,,0.011229951719046574,-2.1802971129026756,0.023116401204462154,0.02048583080397754,-0.5410552053448687,0.02719210993975523,0.03204056744664162,,,
J0942+3547_APO_SDSS,7.56,-0.76,12941.020059504513,12441.046649388745,12058.714041653158,8.033096838581638,,0.0027861975619065645,,,,-2.2355060300779575,0.013659818025996345,0.013586167724789842,-0.5859988761379951,0.006958152843009481,0.0071083106199442,-1.4580799482187115,,
J0944+3442_APO_SDSS,6.83,-0.78,15411.282440652238,14491.364425741356,13787.897708456565,7.715489450840941,,0.004892167808912933,,,,-2.1573773140756933,0.07063804844585354,0.09624896442894695,-0.4832331333585388,0.03598865664732758,0.03707059882281854,,,
J0944-0038_LBT_MODS,8.19,-0.01,15650.575827062357,14689.977936461755,13955.40307894365,7.819469415640773,,0.0007915584148511245,-1.56083309989907,,0.0012122285588152914,-2.268028468890738,0.004132303803485115,0.004185677738705557,-0.7695281318606468,0.001812138802160491,0.001697896815921286,-1.0528697029254208,,
J1016+3754_APO_SDSS,6.72,-1.17,17627.59061443254,16330.900209979009,15339.313430102779,7.569039636789273,,0.00321686354734553,-1.7729475547258478,,0.006033114698403159,-2.295144733787471,0.01046483350474456,0.00998177209816385,-0.7274139504680831,0.007790146177567129,0.007767588457238277,-1.0717053705881452,,
J1024+0524_APO_SDSS,7.89,0.21,15383.371906836377,14468.198682674192,13768.360334785464,7.789346144301758,0.0036873627372310705,0.002805290084694343,,,,-2.210034003670107,0.010403490948344075,0.00971961106867797,-0.6303303090050836,0.005264690044783576,0.005873071132814352,-1.054709177019417,0.040123544942505744,0.034825119581679595
J1025+3622_APO_SDSS,8.87,1.04,12418.20420184761,12007.109487533515,11692.742941293325,8.12821124506121,0.008631053932607076,0.00448067958167916,,,,-2.3243672925971524,0.011611300074787705,0.012497164116730713,-0.5490973509156841,0.010223120148508208,0.00989139742021895,-1.783369256356894,0.12233870211883391,0.12558829366149027
J1044+0353_APO_SDSS,6.8,-0.59,17739.78272614949,16424.019662704075,15417.847908304642,7.554914822813107,,0.0032448147866022516,-2.00077602866528,,0.003698583144103387,-2.429527967281279,0.002884214150228553,0.003120579641111323,-0.7800625890171211,0.006753302892478674,0.0070555882262978474,-0.9135343107577446,,
J1105+4444_APO_SDSS,8.98,0.69,11270.983361642691,11054.916190163432,10889.688353149882,8.21666498091274,0.003984450631331402,0.0032431999972754766,,,,-2.2667120411498045,0.010563506619454915,0.00887194426668315,-0.4897521878143932,0.006798148692575679,0.006715773703965596,-1.5232306050018003,0.03136127271722163,0.030082399621021737
J1112+5503_APO_SDSS,9.59,1.6,,,,,,,,,,,,,,,,,,
J1119+5130_APO_SDSS,6.77,-1.58,15703.859329413455,14734.203243413167,13992.701530589418,7.616267858922855,,0.003429130055757814,-1.7377708654012558,,0.0127949025647175,-2.3662311830453002,0.016970610563952857,0.016614810515108717,-0.6324859652079201,0.01343356524323558,0.013246860793503715,-1.3383301560709036,,
J1129+2034_APO_SDSS,8.09,-0.37,10498.8245514363,10414.024377692129,10349.17718600541,8.351356599249378,,0.0016374891142564576,-1.8267298515345631,,0.0033069814250315413,-2.2846291643311583,0.004395167891456922,0.00400137642426812,-0.49430868726139565,0.0066599873161730825,0.00796949717667379,-2.0854305006299283,,
J1132+1411_APO_SDSS,7.31,-1.07,10928.444888209293,10770.609257213713,10649.911421746505,8.22954952658552,0.004956199679128604,0.004227660873833715,,,,-2.3304658263896445,0.009508374089897013,0.009856228436532534,-0.5313476604723952,0.00857279199573984,0.008162557340986807,-1.6679373901756709,0.057508481200796435,0.05665922761875189
J1132+5722_APO_SDSS,8.68,0.44,18469.89343362969,17030.011549912644,15928.925403540783,7.38856375510328,,0.003232948795159611,-1.6079975166047478,,0.012293016049661558,-2.167897668186187,0.019453128315997603,0.02104781570382607,-0.5318316682078394,0.018939515019858515,0.016680137353024087,-1.6671415386549773,,
J1144+4012_APO_SDSS,9.89,1.51,,,,,,,,,,,,,,,,,,
J1148+2546_LBT_MODS,8.14,0.53,13798.247073619632,13152.545071104294,12658.772951533741,7.997759756258352,0.001215620584181361,0.0009141969646910968,-1.7463387195444982,0.0025648467286586525,0.0024472867640099464,-2.3494168845639987,0.008758324987215857,0.008651986596754034,-0.7157649846500339,0.0019990262032362795,0.002031905882325657,-1.1084072360679496,0.05225921332141582,0.05214649605555607
J1150+1501_APO_SDSS,6.84,-1.33,11808.4398901682,11501.005108839605,11265.90792311774,8.181264045388401,,0.0017438414563568222,-1.7543618742573008,,0.002780162230683303,-2.2086018567442958,0.005173467031361439,0.004595630088344346,-0.6746257829782188,0.004338976955686796,0.004376892905968047,-1.7059049785823954,,
J1157+3220_APO_SDSS,9.04,0.97,9201.287435171,9337.068571191929,9440.901204619699,8.511988409784443,,0.0019156020625336874,-1.867853338199253,,0.004039664610764975,-2.232906383202416,0.006623370487511642,0.005846001260818544,-0.37643732918006245,0.008727496924359646,0.00840832289453131,-1.899584903163542,,
J1200+1343_APO_SDSS,8.12,0.75,12357.034131498367,11956.338329143644,11649.923892048857,8.144588404939368,0.007878388418666372,0.006270412153531119,,,,-2.241516138188707,0.014651763938814413,0.013704216435896826,-0.5917300602894954,0.010330637419529842,0.011348451101934496,-1.0885533395983673,0.06405545826309812,0.05739043248673624
J1225+6109_APO_SDSS,7.12,-1.08,13654.962123366193,13033.61856239394,12558.473486356334,8.025126597095404,,0.0030502282011247205,-1.835074212780698,,0.004672060879632861,-2.331512705675141,0.007917433574814057,0.007823398327326607,-0.7381555183140218,0.0054923088010475525,0.005886771349352495,-1.3534160564904185,,
J1253-0312_APO_SDSS,7.65,0.56,13904.74092069397,13240.934964175995,12733.318644485778,8.008677625185529,0.004093938209595069,0.004862870723660611,,,,-2.231296868611331,0.005812562883148905,0.005474513044021668,-0.70164303386731,0.006884156171019566,0.006211989470702102,-0.8072871196410759,0.022911541849591828,0.016467042029690904
J1314+3452_APO_SDSS,7.56,-0.67,11239.851898105111,11029.077075427242,10867.896328673578,8.320796444290611,,0.002070602198236964,-1.8177056681498267,,0.0033408776631672233,-2.2859063976514618,0.005402692982048383,0.005378587509525209,-0.5636697687835668,0.006181150033868018,0.005704515350480115,-1.8766908395071755,,
J1323-0132_LBT_MODS,6.31,-0.72,18129.89037812811,16747.80901384633,15690.923264689678,7.701595636111932,0.0006535097555369376,0.0007095323047918034,-1.7045726881813317,0.0019385846045715618,0.0023072367979077133,-2.2250847062268044,0.0037974274151346007,0.0035162030379136356,-0.7312407771507673,0.001265649349146687,0.001353101202555394,-0.2187800797604636,0.10863925017970659,0.13107984600296982
J1359+5726_APO_SDSS,8.41,0.42,13587.06300866288,12977.262297190191,12510.944106064017,7.983035286450724,0.004977932031720867,0.003266471690684327,,,,-2.2630124770617592,0.014832491117071946,0.014650558711260607,-0.5847102278981315,0.008381004053978779,0.007702696586313954,-1.3802856045727856,0.04930871593347287,0.06363270225064199
J1416+1223_APO_SDSS,9.59,1.57,,,,,,,,,,,,,,,,,,
J1418+2102_APO_SDSS,6.22,-1.13,18646.503218302896,17176.597671191405,16052.552252812027,7.502795380207161,,0.0033140906511624534,-1.9204973499004638,,0.0037564970983398004,-2.3448646347566195,0.0033645945248448705,0.0033793400459362077,-0.6932262335000857,0.00747220340167975,0.0077929164506266016,-1.1773844484077984,,
J1428+1653_APO_SDSS,9.56,1.22,11209.331901904156,11003.74547858045,10846.532331332908,8.202651839011533,0.02724566480221918,0.0070142398869595095,,,,-2.0625774967639523,0.029449894679339,0.025736606701377427,-0.20078641446439827,0.017771179698678415,0.020300323146092435,-1.5852426065972491,0.07913120072167949,0.07970029949383545
J1429+0643_APO_SDSS,8.8,1.42,15093.345657025005,14227.476895330754,13565.341959917503,7.93450713747945,0.00928291500460463,0.006674860437712752,,,,-2.1251140405379796,0.014415006714834777,0.01279450697242003,-0.5063853910039098,0.00927694196309704,0.009690548208216854,-1.1833162906047698,0.058576432253409444,0.05317398378134595
J1444+4237_APO_BOSS,6.48,-1.94,17675.585803021175,16370.736216507574,15372.91006211482,7.414037750214161,,0.005200881142596179,-1.505450880795805,,0.04160102274048618,-2.276570856481023,0.08260820459675058,0.08582759963559738,-0.6481254557704228,0.026605298789660926,0.02403929561481936,,,
J1448-0110_APO_SDSS,7.61,0.39,13276.642999268572,12719.613689392914,12293.650099487999,8.054126514544917,0.004700762135775499,0.007111311987202383,,,,-2.3195708464155187,0.008620030548114985,0.008967123286655736,-0.7249656147870904,0.008226433035916126,0.008286907353549831,-0.876259232399925,0.03491663648391947,0.03713364227553486
J1521+0759_APO_SDSS,9.0,0.95,,,,,,,,,,,,,,,,,,
J1525+0757_APO_SDSS,10.1,1.0,,,,,,,,,,,,,,,,,,
J1545+0858_LBT_MODS,7.52,0.37,16365.003771104042,15282.953130016354,14455.502639772829,7.733720595254882,,0.0003548092873576137,-1.7308273427747793,,0.0008284286251947422,-2.3016008635625655,0.0023101964143750256,0.0019324382222104474,-0.7276634097247642,0.0006610251492962704,0.0006883213140461213,-0.7231729225111625,,
J1612+0817_APO_SDSS,9.78,1.58,,,,,,,,,,,,,,,,,,
