galaxy,Z,Z_err_up,Z_err_down,Ne,Ne_err_up,Ne_err_down,O32,O32_err,ion_param,ion_param_err_up,ion_param_err_down
J112848+524509,7.83823141167258,0.0295696088435737,0.0343217010590592,-0.5073785561584921,0.0607683497496475,0.06391935544864,0.27313697467076825,0.03924234417085539,0.6100304060272845,0.0323272154285139,0.0309474916915164
J112933+493525,8.099338782592326,0.0381264063678382,0.0477822819347386,-0.6477203679823829,0.0686887472097185,0.0801566412122227,0.5288355991466083,0.0497137707620538,0.7638065243666174,0.0281240947934692,0.0279666909107526
J113304+651341,7.956488575213667,0.0215223182022934,0.0311800859790904,-0.6396193753309323,0.0462501983665623,0.0470153238442902,0.5741077459319438,0.03069205117831328,0.7700921675970795,0.0179385356639803,0.0171066258242287
J115959+382422,7.814133402349524,0.0294519645102121,0.0338090715038568,-0.6073948074993659,0.0486423357466086,0.050364817266659,0.9230363953377725,0.0341107828954476,0.8628777494704734,0.0126116031355729,0.011652132363602
J120934+305326,8.116373524788962,0.0157941189192147,0.0245456357959524,-0.6183583999449601,0.0329221711891609,0.0320113628563004,0.5619148619059412,0.023427063651074755,0.7728265765677539,0.0111896124692005,0.0130395005025132
J124423+021540,8.150563084744375,0.0173592403912785,0.0199279070531265,-0.6144908371066762,0.0341816812199959,0.0290391686198937,0.5604621692759775,0.021150139691216024,0.7588774975514836,0.0119445234797854,0.011919959215836
J124619+444902,7.963243566666733,0.0195163570291381,0.0252787621291014,-0.5954501256702073,0.0362031845502614,0.0404126429033221,0.5904417484098015,0.03691823530867617,0.7559820848501744,0.0152466280829993,0.0138761879665172
J124835+123403,8.145413886410584,0.0250815334502312,0.0332322825241389,-0.6204218776033004,0.0451986008043147,0.0447999472940364,0.5387900931990691,0.029914421543634707,0.756180172923233,0.0191274061669171,0.0197777861866739
J132633+421824,8.238002769704808,0.021917571210328,0.030422296007495,-0.6140316755961466,0.043392661077902,0.0494979034920669,0.503155756855967,0.0289818628046153,0.7480244064825149,0.0169733974168254,0.017794812048642
J141013+434435,8.02603696629573,0.0244479573566014,0.0392309725329518,-0.6530584767147765,0.0497730046677698,0.0470175060201837,0.9528502484747473,0.0326361564425221,0.8810222389898126,0.0104150753815938,0.0107298807446561
J144010+461937,8.174094272099081,0.018644654889337,0.023332443397603,-0.5285805309543892,0.0413960770816827,0.0422767965176455,0.2569431285521811,0.025583463919232403,0.603583101278754,0.020157535833489,0.0213166867541925
J151707+370512,8.341399529940972,0.0199205313010951,0.0257524085496705,-0.6446396885386471,0.040302948363888,0.0461744601764812,0.37772942627376144,0.026802785828395816,0.6860920606505745,0.0189004815177664,0.0170543889146894
J155945+403325,8.11300129047094,0.0241736638761142,0.0301953965356806,-0.6203768630462042,0.049047586994465,0.0487998196235734,0.4824078766947501,0.03187806071454868,0.7381822266132978,0.0186417404892244,0.0200327737937966
J160437+081959,8.125385064885888,0.0493225049706545,0.0643582876583799,-0.6737348457417571,0.0876803030191155,0.0835305265120097,0.7469335423571404,0.05685101472644146,0.8373723331427533,0.0254372039983172,0.0237175057082493
J164607+313054,8.08161434864229,0.0391612481010483,0.0562446768495489,-0.6248844046393751,0.0750164220950756,0.081170887477291,0.6038209550387901,0.06781909053209319,0.7918775132052707,0.0276112202353451,0.0292698640405411
